"site","time_scale","drought_type","lat","lon","trend_type","p_value","z","method","n","note","s","var_s","tau","alternative","trend_likelihood","period_start","period_end","region"
NA,"6","Agricultural drought",NA,NA,"Average spei",0.6555858072799083,-0.40044554330411813,"Mann-Kendall",82,NA,-101,62361,-0.0304125263474857,"greater","Indeterminate",1972,2022,NA
NA,"12","Hydrological drought",NA,NA,"Average spei",0.6571872294196961,-0.4047986228555769,"Mann-Kendall",73,NA,-86,44092,-0.03272450532724505,"greater","Indeterminate",1972,2022,NA
NA,"3","Meteorological drought",NA,NA,"Average spei",0.7794938605514142,-0.7704849504198829,"Mann-Kendall",85,NA,-204,69416.66666666667,-0.05714285714285714,"greater","Likely decreasing",1972,2022,NA
NA,"6","Agricultural drought",NA,NA,"Average spei",0.4096960277585696,0.22832697477020006,"Mann-Kendall",71,NA,47,40588.333333333336,0.018913480885311876,"greater","Indeterminate",1972,2022,NA
NA,"12","Hydrological drought",NA,NA,"Average spei",0.5088304312224117,-0.022136416330949604,"Mann-Kendall",66,NA,-5,32651.666666666668,-0.002331002331002331,"greater","Indeterminate",1972,2022,NA
NA,"3","Meteorological drought",NA,NA,"Average spei",0.6382515452363439,-0.3537891444167435,"Mann-Kendall",78,NA,-83,53720.333333333336,-0.02763902763902764,"greater","Indeterminate",1972,2022,NA
NA,"6","Agricultural drought",NA,NA,"Average spei",0.5958695836875376,-0.24267027978439687,"Mann-Kendall",74,NA,-53,45917,-0.019622362088115512,"greater","Indeterminate",1972,2022,NA
NA,"12","Hydrological drought",NA,NA,"Average spei",0.7352068391622791,-0.6286376257515945,"Mann-Kendall",70,NA,-125,38908.333333333336,-0.051759834368530024,"greater","Likely decreasing",1972,2022,NA
NA,"3","Meteorological drought",NA,NA,"Average spei",0.7958184983442117,-0.8267778208305187,"Mann-Kendall",80,NA,-200,57933.333333333336,-0.06329113924050632,"greater","Likely decreasing",1972,2022,NA
NA,"6","Agricultural drought",NA,NA,"Average spei",0.907087969139669,-1.32303402875121,"Mann-Kendall",76,NA,-296,49716.666666666664,-0.10385964912280704,"greater","Very likely decreasing",1972,2022,NA
NA,"12","Hydrological drought",NA,NA,"Average spei",0.9857923736778292,-2.191505216764011,"Mann-Kendall",66,NA,-397,32651.666666666668,-0.1850815850815851,"greater","Very likely decreasing",1972,2022,NA
NA,"3","Meteorological drought",NA,NA,"Average spei",0.8448612406350331,-1.0146398866757853,"Mann-Kendall",83,NA,-259,64657,-0.07610931531002056,"greater","Likely decreasing",1972,2022,NA
NA,"6","Agricultural drought",NA,NA,"Average spei",0.7181984809644208,-0.5774980758564929,"Mann-Kendall",80,NA,-140,57933.333333333336,-0.044303797468354424,"greater","Likely decreasing",1972,2022,NA
NA,"12","Hydrological drought",NA,NA,"Average spei",0.8052269300900676,-0.8604407341148459,"Mann-Kendall",72,NA,-178,42316,-0.06964006259780907,"greater","Likely decreasing",1972,2022,NA
NA,"3","Meteorological drought",NA,NA,"Average spei",0.45617721609334694,0.11006927863141183,"Mann-Kendall",85,NA,30,69416.66666666667,0.008403361344537815,"greater","Indeterminate",1972,2022,NA
NA,"6","Agricultural drought",NA,NA,"Average spei",0.15272748250919932,1.0248055121406816,"Mann-Kendall",77,NA,234,51692.666666666664,0.07997265892002735,"greater","Likely increasing",1972,2022,NA
NA,"12","Hydrological drought",NA,NA,"Average spei",0.06653236965106327,1.5021253493869344,"Mann-Kendall",72,NA,310,42316,0.12128325508607196,"greater","Very likely increasing",1972,2022,NA
NA,"3","Meteorological drought",NA,NA,"Average spei",0.15891937934593675,0.9989090357195716,"Mann-Kendall",83,NA,255,64657,0.07493388186893916,"greater","Likely increasing",1972,2022,NA
NA,"6","Agricultural drought",NA,NA,"Average spei",0.6286822790426903,-0.32836534550937685,"Mann-Kendall",82,NA,-83,62361,-0.02499247214694369,"greater","Indeterminate",1972,2022,NA
NA,"12","Hydrological drought",NA,NA,"Average spei",0.6283927773927022,-0.327599572496374,"Mann-Kendall",71,NA,-67,40588.333333333336,-0.02696177062374246,"greater","Indeterminate",1972,2022,NA
NA,"3","Meteorological drought",NA,NA,"Average spei",0.7215550059532234,-0.5874671775970177,"Mann-Kendall",88,NA,-164,76985.33333333333,-0.042842215256008356,"greater","Likely decreasing",1972,2022,NA
NA,"6","Agricultural drought",NA,NA,"Average spei",0.46773699122731544,0.08095972457111537,"Mann-Kendall",73,NA,18,44092,0.00684931506849315,"greater","Indeterminate",1972,2022,NA
NA,"12","Hydrological drought",NA,NA,"Average spei",0.5215783196221516,-0.054115226845312454,"Mann-Kendall",67,NA,-11,34147.666666666664,-0.0049751243781094535,"greater","Indeterminate",1972,2022,NA
NA,"3","Meteorological drought",NA,NA,"Average spei",0.6595779599697438,-0.41131157920714245,"Mann-Kendall",80,NA,-100,57933.333333333336,-0.03164556962025316,"greater","Indeterminate",1972,2022,NA
NA,"6","Agricultural drought",NA,NA,"Average spei",0.07028932670966748,1.4736395993591547,"Mann-Kendall",82,NA,369,62361,0.1111111111111111,"greater","Very likely increasing",1972,2022,NA
NA,"12","Hydrological drought",NA,NA,"Average spei",0.0610389061816037,1.5461107940959076,"Mann-Kendall",75,NA,339,47791.666666666664,0.12216216216216218,"greater","Very likely increasing",1972,2022,NA
NA,"3","Meteorological drought",NA,NA,"Average spei",0.17429288220710473,0.9373359729118741,"Mann-Kendall",76,NA,210,49716.666666666664,0.0736842105263158,"greater","Likely increasing",1972,2022,NA
NA,"6","Agricultural drought",NA,NA,"Average spei",0.12835054292305825,1.134222839631817,"Mann-Kendall",80,NA,274,57933.333333333336,0.08670886075949366,"greater","Likely increasing",1972,2022,NA
NA,"12","Hydrological drought",NA,NA,"Average spei",0.3028512516812127,0.5162175081761045,"Mann-Kendall",71,NA,105,40588.333333333336,0.04225352112676057,"greater","Likely increasing",1972,2022,NA
NA,"3","Meteorological drought",NA,NA,"Average spei",0.7553719881889156,-0.6914926093547895,"Mann-Kendall",84,NA,-180,67008.66666666667,-0.05163511187607574,"greater","Likely decreasing",1972,2022,NA
NA,"6","Agricultural drought",NA,NA,"Average spei",0.5314592640658564,-0.07893858590844148,"Mann-Kendall",80,NA,-20,57933.333333333336,-0.006329113924050632,"greater","Indeterminate",1972,2022,NA
