Date(NZST),Sunshine(Hrs),Period(Hrs),Freq
20111219,5.8,24,D
20111220,7.7,24,D
20111221,5.5,24,D
20111222,8.1,24,D
20111223,10.7,24,D
20111224,13.5,24,D
20111225,13.3,24,D
20111226,13.6,24,D
20111227,11.9,24,D
20111228,1.2,24,D
20111229,0,24,D
20111230,0,24,D
20111231,10.5,24,D
20120101,10.1,24,D
20120102,10.4,24,D
20120103,2,24,D
20120104,11.8,24,D
20120105,10,24,D
20120106,8.1,24,D
20120107,8,24,D
20120108,13.4,24,D
20120109,2.2,24,D
20120110,1.9,24,D
20120111,7.6,24,D
20120112,4.1,24,D
20120113,1.5,24,D
20120114,1.5,24,D
20120115,1.5,24,D
20120116,11.8,24,D
20120117,12.5,24,D
20120118,10.2,24,D
20120119,2.3,24,D
20120120,11.4,24,D
20120121,8.2,24,D
20120122,4.1,24,D
20120123,10.5,24,D
20120124,13.2,24,D
20120125,7.4,24,D
20120126,1.7,24,D
20120127,7.5,24,D
20120128,1.7,24,D
20120129,5.1,24,D
20120130,12.5,24,D
20120131,1.8,24,D
20120201,3.2,24,D
20120202,1,24,D
20120203,5.5,24,D
20120204,2.5,24,D
20120205,2.5,24,D
20120206,1.1,24,D
20120207,8.2,24,D
20120208,10.2,24,D
20120209,5.5,24,D
20120210,3.5,24,D
20120211,9.9,24,D
20120212,4.3,24,D
20120213,9,24,D
20120214,2.4,24,D
20120215,2.9,24,D
20120216,12.1,24,D
20120217,10.8,24,D
20120218,8.1,24,D
20120219,6.3,24,D
20120220,4.6,24,D
20120221,0.5,24,D
20120222,0,24,D
20120223,4.4,24,D
20120224,2.5,24,D
20120225,3.8,24,D
20120226,1.2,24,D
20120227,4.8,24,D
20120228,6.8,24,D
20120229,0.6,24,D
20120301,5.1,24,D
20120302,0,24,D
20120303,7.9,24,D
20120304,11.6,24,D
20120305,6,24,D
20120306,0.1,24,D
20120307,2.2,24,D
20120308,11.2,24,D
20120309,11.4,24,D
20120310,6.9,24,D
20120311,0,24,D
20120312,7.2,24,D
20120313,10.5,24,D
20120314,9,24,D
20120315,3.7,24,D
20120316,7.5,24,D
20120317,8.8,24,D
20120318,0.6,24,D
20120319,8.1,24,D
20120320,10.3,24,D
20120321,6.5,24,D
20120322,0.2,24,D
20120323,2.3,24,D
20120324,0.2,24,D
20120325,0.9,24,D
20120326,4,24,D
20120327,3.1,24,D
20120328,9.2,24,D
