"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Hamilton (Waikato)",1976,16,"1976-05-14","1976-10-05",-37.86088,175.33175
"Hokitika (West Coast)",1976,26,"1976-05-13","1976-11-11",-42.71228,170.98428
"Invercargill (Southland)",1976,40.974137931034484,"1976-02-27","1976-11-11",-46.41741,168.33052
"Kerikeri (Northland)",1976,1,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1976,90,"1976-04-21","1976-11-11",-44.002,170.441
"Masterton (Wellington)",1976,22,"1976-05-24","1976-10-06",-40.957,175.707
"Milford Sound (Southland)",1976,39,"1976-05-11","1976-09-05",-44.67384,167.92406
"Napier (Hawke's Bay)",1976,16,"1976-05-24","1976-07-26",-39.49846,176.91189
"Nelson (Nelson)",1976,20,"1976-06-07","1976-09-03",-41.299,173.226
"New Plymouth (Taranaki)",1976,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1976,86,"1976-04-21","1976-11-11",-45.01758,168.74005
"Reefton (West Coast)",1976,52,"1976-04-21","1976-11-12",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1976,17,"1976-05-24","1976-07-24",-38.10595,176.31485
"Tara Hills (Canterbury)",1976,138.94827586206895,"1976-01-24","1976-11-16",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1976,41,"1976-05-14","1976-11-13",-38.88784,175.25981
"Taupō (Waikato)",1976,50,"1976-05-12","1976-11-16",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1976,5,"1976-06-22","1976-07-20",-37.673,176.196
"Timaru (Canterbury)",1976,79,"1976-04-22","1976-11-11",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1976,57.922413793103445,"1976-02-01","1976-11-16",-39.46249,175.66283
"Wellington (Wellington)",1976,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1976,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1976,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1976,1,NA,NA,-35.769,174.364
"Auckland (Auckland)",1975,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1975,46,"1975-05-29","1975-10-20",-41.52133,173.86439
"Christchurch (Canterbury)",1975,56,"1975-05-13","1975-10-05",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1975,19,"1975-05-08","1975-09-26",-40.21,176.109
"Dunedin (Otago)",1975,9,"1975-05-28","1975-09-22",-45.90129,170.5147
"Gisborne (Gisborne)",1975,14,"1975-06-22","1975-08-12",-38.6586,177.9851
"Gore (Southland)",1975,52,"1975-05-08","1975-11-30",-46.115,168.887
"Hamilton (Waikato)",1975,26,"1975-06-09","1975-08-10",-37.86088,175.33175
"Hokitika (West Coast)",1975,20,"1975-06-08","1975-07-25",-42.71228,170.98428
"Invercargill (Southland)",1975,36,"1975-05-08","1975-11-23",-46.41741,168.33052
"Kerikeri (Northland)",1975,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1975,99,"1975-04-26","1975-11-23",-44.002,170.441
"Masterton (Wellington)",1975,24,"1975-05-08","1975-09-17",-40.957,175.707
"Milford Sound (Southland)",1975,36,"1975-05-28","1975-08-23",-44.67384,167.92406
"Napier (Hawke's Bay)",1975,23,"1975-06-12","1975-08-13",-39.49846,176.91189
"Nelson (Nelson)",1975,27,"1975-06-12","1975-08-10",-41.299,173.226
"New Plymouth (Taranaki)",1975,3,"1975-06-26","1975-07-23",-39.0079,174.18382
"Queenstown (Otago)",1975,61,"1975-05-07","1975-11-22",-45.01758,168.74005
"Reefton (West Coast)",1975,40,"1975-05-29","1975-10-20",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1975,30,"1975-06-12","1975-09-17",-38.10595,176.31485
"Tara Hills (Canterbury)",1975,122,"1975-04-13","1975-12-29",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1975,49,"1975-04-15","1975-11-22",-38.88784,175.25981
"Taupō (Waikato)",1975,43,"1975-05-08","1975-11-22",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1975,2,"1975-06-29","1975-07-25",-37.673,176.196
"Timaru (Canterbury)",1975,83,"1975-04-26","1975-11-22",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1975,61,"1975-04-13","1975-12-27",-39.46249,175.66283
"Wellington (Wellington)",1975,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1975,4,"1975-06-27","1975-07-01",-39.93704,175.04509
"Whangaparāoa (Auckland)",1975,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1975,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1974,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1974,35,"1974-03-21","1974-09-29",-41.52133,173.86439
"Christchurch (Canterbury)",1974,24,"1974-05-09","1974-08-30",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1974,12,"1974-05-05","1974-08-31",-40.21,176.109
"Dunedin (Otago)",1974,6,"1974-06-20","1974-08-30",-45.90129,170.5147
"Gisborne (Gisborne)",1974,3,"1974-06-06","1974-08-31",-38.6586,177.9851
"Gore (Southland)",1974,55,"1974-04-25","1974-08-24",-46.115,168.887
"Hamilton (Waikato)",1974,15,"1974-05-05","1974-08-20",-37.86088,175.33175
"Hokitika (West Coast)",1974,11,"1974-06-17","1974-08-27",-42.71228,170.98428
"Invercargill (Southland)",1974,65,"1974-03-27","1974-10-13",-46.41741,168.33052
"Kerikeri (Northland)",1974,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1974,100,"1974-03-20","1974-10-31",-44.002,170.441
"Masterton (Wellington)",1974,14,"1974-05-05","1974-08-29",-40.957,175.707
"Milford Sound (Southland)",1974,35,"1974-06-04","1974-08-31",-44.67384,167.92406
"Napier (Hawke's Bay)",1974,9,"1974-06-06","1974-08-31",-39.49846,176.91189
"Nelson (Nelson)",1974,13,"1974-06-05","1974-08-28",-41.299,173.226
"New Plymouth (Taranaki)",1974,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1974,74,"1974-03-20","1974-09-30",-45.01758,168.74005
"Reefton (West Coast)",1974,47,"1974-04-24","1974-09-29",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1974,13,"1974-05-05","1974-08-31",-38.10595,176.31485
"Tara Hills (Canterbury)",1974,128,"1974-01-10","1974-11-22",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1974,40,"1974-03-02","1974-11-01",-38.88784,175.25981
"Taupō (Waikato)",1974,28,"1974-03-21","1974-10-01",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1974,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1974,51,"1974-04-30","1974-08-31",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1974,49,"1974-01-26","1974-11-04",-39.46249,175.66283
"Wellington (Wellington)",1974,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1974,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1974,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1974,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1973,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1973,47,"1973-05-22","1973-10-17",-41.52133,173.86439
"Christchurch (Canterbury)",1973,32,"1973-05-22","1973-09-10",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1973,13,"1973-04-25","1973-10-05",-40.21,176.109
"Dunedin (Otago)",1973,9,"1973-07-02","1973-08-20",-45.90129,170.5147
"Gisborne (Gisborne)",1973,10,"1973-05-22","1973-09-10",-38.6586,177.9851
"Gore (Southland)",1973,50,"1973-05-15","1973-10-17",-46.115,168.887
"Hamilton (Waikato)",1973,15,"1973-06-19","1973-08-02",-37.86088,175.33175
"Hokitika (West Coast)",1973,13,"1973-05-22","1973-09-09",-42.71228,170.98428
"Invercargill (Southland)",1973,50,"1973-03-27","1973-10-18",-46.41741,168.33052
"Kerikeri (Northland)",1973,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1973,103,"1973-03-07","1973-12-19",-44.002,170.441
"Masterton (Wellington)",1973,17,"1973-04-25","1973-10-05",-40.957,175.707
"Milford Sound (Southland)",1973,53,"1973-05-21","1973-09-09",-44.67384,167.92406
"Napier (Hawke's Bay)",1973,10,"1973-06-22","1973-09-10",-39.49846,176.91189
"Nelson (Nelson)",1973,25,"1973-05-22","1973-08-24",-41.299,173.226
"New Plymouth (Taranaki)",1973,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1973,72,"1973-04-14","1973-09-17",-45.01758,168.74005
"Reefton (West Coast)",1973,56,"1973-04-03","1973-10-05",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1973,17,"1973-05-22","1973-09-09",-38.10595,176.31485
"Tara Hills (Canterbury)",1973,133.00892857142858,"1973-02-13","1973-11-26",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1973,46,"1973-04-05","1973-10-05",-38.88784,175.25981
"Taupō (Waikato)",1973,29,"1973-05-22","1973-10-05",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1973,2,"1973-07-05","1973-07-08",-37.673,176.196
"Timaru (Canterbury)",1973,60,"1973-05-15","1973-10-25",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1973,50,"1973-04-07","1973-12-10",-39.46249,175.66283
"Wellington (Wellington)",1973,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1973,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1973,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1973,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1972,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1972,57,"1972-05-22","1972-09-22",-41.52133,173.86439
"Christchurch (Canterbury)",1972,39,"1972-05-05","1972-09-05",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1972,22,"1972-05-22","1972-09-18",-40.21,176.109
"Dunedin (Otago)",1972,11,"1972-06-27","1972-08-28",-45.90129,170.5147
"Gisborne (Gisborne)",1972,8,"1972-05-27","1972-10-01",-38.6586,177.9851
"Gore (Southland)",1972,32,"1972-05-14","1972-08-30",-46.115,168.887
"Hamilton (Waikato)",1972,22,"1972-05-26","1972-09-05",-37.86088,175.33175
"Hokitika (West Coast)",1972,16,"1972-06-07","1972-08-18",-42.71228,170.98428
"Invercargill (Southland)",1972,33,"1972-04-09","1972-08-30",-46.41741,168.33052
"Kerikeri (Northland)",1972,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1972,100,"1972-04-20","1972-12-14",-44.002,170.441
"Masterton (Wellington)",1972,37,"1972-05-02","1972-10-01",-40.957,175.707
"Milford Sound (Southland)",1972,47,"1972-05-26","1972-08-28",-44.67384,167.92406
"Napier (Hawke's Bay)",1972,14,"1972-05-22","1972-08-29",-39.49846,176.91189
"Nelson (Nelson)",1972,42,"1972-05-26","1972-08-29",-41.299,173.226
"New Plymouth (Taranaki)",1972,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1972,68,"1972-04-29","1972-10-14",-45.01758,168.74005
"Reefton (West Coast)",1972,51,"1972-05-26","1972-09-05",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1972,28,"1972-05-23","1972-09-05",-38.10595,176.31485
"Tara Hills (Canterbury)",1972,123,"1972-03-06","1972-12-14",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1972,56,"1972-04-14","1972-10-01",-38.88784,175.25981
"Taupō (Waikato)",1972,41,"1972-05-22","1972-10-01",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1972,3,"1972-06-01","1972-08-04",-37.673,176.196
"Timaru (Canterbury)",1972,63,"1972-04-20","1972-09-29",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1972,67.94827586206897,"1972-02-03","1972-12-28",-39.46249,175.66283
"Wellington (Wellington)",1972,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1972,8,"1972-06-28","1972-08-23",-39.93704,175.04509
"Whangaparāoa (Auckland)",1972,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1972,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1971,0,NA,NA,-37.00813,174.78873
"Christchurch (Canterbury)",1971,30,"1971-05-26","1971-09-24",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1971,6,"1971-06-18","1971-09-03",-40.21,176.109
"Dunedin (Otago)",1971,2,"1971-07-09","1971-07-17",-45.90129,170.5147
"Gisborne (Gisborne)",1971,0,NA,NA,-38.6586,177.9851
"Hokitika (West Coast)",1971,12,"1971-07-07","1971-08-20",-42.71228,170.98428
"Invercargill (Southland)",1971,47,"1971-04-17","1971-09-24",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1971,74.43333333333334,"1971-04-11","1971-10-24",-44.002,170.441
"Milford Sound (Southland)",1971,27.433333333333334,"1971-05-23","1971-08-24",-44.67384,167.92406
"Napier (Hawke's Bay)",1971,0,NA,NA,-39.49846,176.91189
"Nelson (Nelson)",1971,14,"1971-07-08","1971-08-19",-41.299,173.226
"New Plymouth (Taranaki)",1971,0,NA,NA,-39.0079,174.18382
"Tara Hills (Canterbury)",1971,108,"1971-04-10","1971-11-26",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1971,42,"1971-04-30","1971-09-09",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1971,0,NA,NA,-37.673,176.196
"Wellington (Wellington)",1971,0,NA,NA,-41.285,174.768
"Whangārei (Northland)",1971,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1970,0,NA,NA,-37.00813,174.78873
"Christchurch (Canterbury)",1970,38,"1970-05-12","1970-09-27",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1970,15,"1970-05-28","1970-10-11",-40.21,176.109
"Dunedin (Otago)",1970,3,"1970-07-06","1970-09-25",-45.90129,170.5147
"Gisborne (Gisborne)",1970,5,"1970-05-31","1970-08-01",-38.6586,177.9851
"Hokitika (West Coast)",1970,8,"1970-05-11","1970-09-22",-42.71228,170.98428
"Invercargill (Southland)",1970,35,"1970-05-03","1970-11-21",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1970,82,"1970-04-20","1970-11-21",-44.002,170.441
"Milford Sound (Southland)",1970,34,"1970-05-12","1970-09-30",-44.67384,167.92406
"Napier (Hawke's Bay)",1970,16,"1970-05-13","1970-08-27",-39.49846,176.91189
"Nelson (Nelson)",1970,19,"1970-05-29","1970-08-26",-41.299,173.226
"New Plymouth (Taranaki)",1970,0,NA,NA,-39.0079,174.18382
"Tara Hills (Canterbury)",1970,120,"1970-04-20","1970-11-21",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1970,50,"1970-03-17","1970-08-27",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1970,1,NA,NA,-37.673,176.196
"Wellington (Wellington)",1970,0,NA,NA,-41.285,174.768
"Whangārei (Northland)",1970,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1969,0,NA,NA,-37.00813,174.78873
"Christchurch (Canterbury)",1969,42,"1969-06-01","1969-10-12",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1969,27,"1969-04-26","1969-10-12",-40.21,176.109
"Dunedin (Otago)",1969,15,"1969-05-17","1969-10-05",-45.90129,170.5147
"Gisborne (Gisborne)",1969,15,"1969-06-05","1969-08-12",-38.6586,177.9851
"Hokitika (West Coast)",1969,30,"1969-04-29","1969-10-11",-42.71228,170.98428
"Invercargill (Southland)",1969,41.00892857142857,"1969-02-08","1969-11-01",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1969,92,"1969-04-09","1969-10-28",-44.002,170.441
"Milford Sound (Southland)",1969,42,"1969-04-16","1969-10-11",-44.67384,167.92406
"Napier (Hawke's Bay)",1969,23,"1969-06-04","1969-08-12",-39.49846,176.91189
"Nelson (Nelson)",1969,40,"1969-05-30","1969-08-23",-41.299,173.226
"New Plymouth (Taranaki)",1969,2,"1969-07-03","1969-07-21",-39.0079,174.18382
"Tara Hills (Canterbury)",1969,131.00892857142858,"1969-02-19","1969-11-24",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1969,60,"1969-04-17","1969-11-02",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1969,2,"1969-07-12","1969-07-22",-37.673,176.196
"Wellington (Wellington)",1969,0,NA,NA,-41.285,174.768
"Whangārei (Northland)",1969,2,"1969-07-21","1969-07-22",-35.769,174.364
"Auckland (Auckland)",1968,0,NA,NA,-37.00813,174.78873
"Christchurch (Canterbury)",1968,37,"1968-05-11","1968-10-13",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1968,23,"1968-05-23","1968-11-07",-40.21,176.109
"Dunedin (Otago)",1968,9,"1968-06-10","1968-08-19",-45.90129,170.5147
"Gisborne (Gisborne)",1968,4,"1968-05-25","1968-07-28",-38.6586,177.9851
"Hokitika (West Coast)",1968,18,"1968-06-21","1968-09-28",-42.71228,170.98428
"Invercargill (Southland)",1968,58,"1968-04-16","1968-10-12",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1968,94,"1968-01-19","1968-12-10",-44.002,170.441
"Milford Sound (Southland)",1968,40,"1968-06-10","1968-10-12",-44.67384,167.92406
"Napier (Hawke's Bay)",1968,11,"1968-05-24","1968-09-02",-39.49846,176.91189
"Nelson (Nelson)",1968,14,"1968-06-10","1968-08-21",-41.299,173.226
"New Plymouth (Taranaki)",1968,1,NA,NA,-39.0079,174.18382
"Tara Hills (Canterbury)",1968,NA,NA,NA,-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1968,47,"1968-05-10","1968-10-13",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1968,1,NA,NA,-37.673,176.196
"Wellington (Wellington)",1968,0,NA,NA,-41.285,174.768
"Whangārei (Northland)",1968,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1967,1,NA,NA,-37.00813,174.78873
"Christchurch (Canterbury)",1967,42,"1967-05-17","1967-09-13",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1967,36,"1967-04-04","1967-11-05",-40.21,176.109
"Dunedin (Otago)",1967,10,"1967-06-02","1967-09-13",-45.90129,170.5147
"Gisborne (Gisborne)",1967,7,"1967-06-10","1967-09-04",-38.6586,177.9851
"Hokitika (West Coast)",1967,10,"1967-05-16","1967-09-06",-42.71228,170.98428
"Invercargill (Southland)",1967,38,"1967-03-20","1967-10-02",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1967,80,"1967-04-28","1967-11-22",-44.002,170.441
"Milford Sound (Southland)",1967,16.620689655172413,"1967-06-01","1967-09-12",-44.67384,167.92406
"Napier (Hawke's Bay)",1967,25,"1967-05-13","1967-09-15",-39.49846,176.91189
"Nelson (Nelson)",1967,28,"1967-05-17","1967-08-06",-41.299,173.226
"New Plymouth (Taranaki)",1967,1,NA,NA,-39.0079,174.18382
"Tara Hills (Canterbury)",1967,135,"1967-04-04","1967-11-21",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1967,68,"1967-04-04","1967-11-05",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1967,0,NA,NA,-37.673,176.196
"Wellington (Wellington)",1967,0,NA,NA,-41.285,174.768
"Auckland (Auckland)",1966,0,NA,NA,-37.00813,174.78873
"Christchurch (Canterbury)",1966,44,"1966-05-04","1966-09-26",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1966,36,"1966-04-28","1966-10-15",-40.21,176.109
"Dunedin (Otago)",1966,11,"1966-05-21","1966-08-12",-45.90129,170.5147
"Gisborne (Gisborne)",1966,5,"1966-06-01","1966-08-23",-38.6586,177.9851
"Hokitika (West Coast)",1966,17,"1966-05-18","1966-08-31",-42.71228,170.98428
"Invercargill (Southland)",1966,48,"1966-04-28","1966-10-20",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1966,90,"1966-05-03","1966-11-04",-44.002,170.441
"Milford Sound (Southland)",1966,28,"1966-05-20","1966-09-25",-44.67384,167.92406
"Napier (Hawke's Bay)",1966,18,"1966-06-01","1966-09-12",-39.49846,176.91189
"Nelson (Nelson)",1966,30,"1966-05-21","1966-09-01",-41.299,173.226
"New Plymouth (Taranaki)",1966,1,NA,NA,-39.0079,174.18382
"Tara Hills (Canterbury)",1966,140,"1966-04-20","1966-12-11",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1966,67,"1966-04-04","1966-11-10",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1966,2,"1966-06-25","1966-08-04",-37.673,176.196
"Wellington (Wellington)",1966,0,NA,NA,-41.285,174.768
"Christchurch (Canterbury)",1965,41,"1965-05-10","1965-10-14",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1965,28,"1965-05-03","1965-10-19",-40.21,176.109
"Dunedin (Otago)",1965,12,"1965-06-26","1965-09-06",-45.90129,170.5147
"Gisborne (Gisborne)",1965,12,"1965-06-06","1965-10-08",-38.6586,177.9851
"Hokitika (West Coast)",1965,19,"1965-06-14","1965-10-07",-42.71228,170.98428
"Invercargill (Southland)",1965,50,"1965-04-15","1965-09-08",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1965,92,"1965-04-27","1965-11-21",-44.002,170.441
"Milford Sound (Southland)",1965,26,"1965-05-02","1965-08-28",-44.67384,167.92406
"Napier (Hawke's Bay)",1965,28,"1965-05-03","1965-10-08",-39.49846,176.91189
"Nelson (Nelson)",1965,35,"1965-05-03","1965-08-09",-41.299,173.226
"New Plymouth (Taranaki)",1965,1,NA,NA,-39.0079,174.18382
"Tara Hills (Canterbury)",1965,143,"1965-03-06","1965-12-30",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1965,72,"1965-04-27","1965-11-22",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1965,1,NA,NA,-37.673,176.196
"Wellington (Wellington)",1965,0,NA,NA,-41.285,174.768
"Christchurch (Canterbury)",1964,48,"1964-05-02","1964-10-09",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1964,19,"1964-05-10","1964-10-10",-40.21,176.109
"Dunedin (Otago)",1964,11,"1964-05-22","1964-08-26",-45.90129,170.5147
"Gisborne (Gisborne)",1964,4,"1964-06-06","1964-09-06",-38.6586,177.9851
"Hokitika (West Coast)",1964,8,"1964-06-11","1964-09-03",-42.71228,170.98428
"Invercargill (Southland)",1964,32,"1964-04-05","1964-10-09",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1964,88,"1964-01-19","1964-10-27",-44.002,170.441
"Milford Sound (Southland)",1964,22,"1964-06-05","1964-09-03",-44.67384,167.92406
"Napier (Hawke's Bay)",1964,11,"1964-06-02","1964-09-06",-39.49846,176.91189
"Nelson (Nelson)",1964,17,"1964-05-21","1964-09-04",-41.299,173.226
"New Plymouth (Taranaki)",1964,0,NA,NA,-39.0079,174.18382
"Tara Hills (Canterbury)",1964,158.97413793103448,"1964-01-02","1964-12-06",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1964,34,"1964-04-06","1964-10-27",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1964,0,NA,NA,-37.673,176.196
"Wellington (Wellington)",1964,0,NA,NA,-41.285,174.768
"Christchurch (Canterbury)",1963,48,"1963-04-04","1963-11-07",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1963,17,"1963-04-05","1963-11-12",-40.21,176.109
"Dunedin (Otago)",1963,11,"1963-06-11","1963-08-30",-45.90129,170.5147
"Gisborne (Gisborne)",1963,8,"1963-07-29","1963-08-27",-38.6586,177.9851
"Invercargill (Southland)",1963,63,"1963-03-10","1963-11-09",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1963,101.63333333333333,"1963-04-04","1963-11-18",-44.002,170.441
"Milford Sound (Southland)",1963,21,"1963-06-27","1963-08-25",-44.67384,167.92406
"Napier (Hawke's Bay)",1963,4,"1963-05-07","1963-08-05",-39.49846,176.91189
"Nelson (Nelson)",1963,28,"1963-06-13","1963-08-25",-41.299,173.226
"New Plymouth (Taranaki)",1963,1,NA,NA,-39.0079,174.18382
"Tara Hills (Canterbury)",1963,150,"1963-01-22","1963-12-25",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1963,59,"1963-04-05","1963-11-19",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1963,1,NA,NA,-37.673,176.196
"Wellington (Wellington)",1963,0,NA,NA,-41.285,174.768
"Christchurch (Canterbury)",1962,32,"1962-06-10","1962-09-11",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1962,12,"1962-06-11","1962-09-11",-40.21,176.109
"Dunedin (Otago)",1962,6,"1962-07-12","1962-08-11",-45.90129,170.5147
"Gisborne (Gisborne)",1962,0,NA,NA,-38.6586,177.9851
"Invercargill (Southland)",1962,34,"1962-03-24","1962-10-10",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1962,73.55555555555556,"1962-05-23","1962-11-10",-44.002,170.441
"Milford Sound (Southland)",1962,8,"1962-07-22","1962-09-02",-44.67384,167.92406
"Napier (Hawke's Bay)",1962,1,NA,NA,-39.49846,176.91189
"Nelson (Nelson)",1962,16,"1962-06-15","1962-08-16",-41.299,173.226
"New Plymouth (Taranaki)",1962,0,NA,NA,-39.0079,174.18382
"Tara Hills (Canterbury)",1962,127,"1962-03-22","1962-12-28",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1962,38,"1962-04-09","1962-09-19",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1962,0,NA,NA,-37.673,176.196
"Wellington (Wellington)",1962,0,NA,NA,-41.285,174.768
"Christchurch (Canterbury)",1961,48,"1961-05-03","1961-09-21",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1961,22,"1961-04-04","1961-08-29",-40.21,176.109
"Dunedin (Otago)",1961,8,"1961-06-15","1961-08-19",-45.90129,170.5147
"Gisborne (Gisborne)",1961,4,"1961-05-29","1961-07-16",-38.6586,177.9851
"Invercargill (Southland)",1961,48,"1961-04-05","1961-10-07",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1961,94,"1961-04-19","1961-11-20",-44.002,170.441
"Milford Sound (Southland)",1961,22,"1961-06-10","1961-08-16",-44.67384,167.92406
"Napier (Hawke's Bay)",1961,5,"1961-06-11","1961-07-16",-39.49846,176.91189
"Nelson (Nelson)",1961,29,"1961-05-25","1961-08-30",-41.299,173.226
"New Plymouth (Taranaki)",1961,0,NA,NA,-39.0079,174.18382
"Tara Hills (Canterbury)",1961,154.00892857142858,"1961-02-19","1961-11-21",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1961,57,"1961-04-04","1961-11-21",-38.88784,175.25981
"Tauranga (Bay of Plenty)",1961,0,NA,NA,-37.673,176.196
"Wellington (Wellington)",1961,0,NA,NA,-41.285,174.768
"Christchurch (Canterbury)",1960,41,"1960-03-27","1960-09-25",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1960,22,"1960-05-13","1960-08-25",-40.21,176.109
"Dunedin (Otago)",1960,10,"1960-06-25","1960-08-13",-45.90129,170.5147
"Gisborne (Gisborne)",1960,4,"1960-06-04","1960-08-14",-38.6586,177.9851
"Invercargill (Southland)",1960,45,"1960-03-30","1960-09-24",-46.41741,168.33052
"Lake Tekapo (Canterbury)",1960,70,"1960-05-03","1960-09-24",-44.002,170.441
"Milford Sound (Southland)",1960,16,"1960-05-05","1960-08-14",-44.67384,167.92406
"Napier (Hawke's Bay)",1960,7,"1960-06-04","1960-08-24",-39.49846,176.91189
"Nelson (Nelson)",1960,19,"1960-06-15","1960-08-23",-41.299,173.226
"New Plymouth (Taranaki)",1960,0,NA,NA,-39.0079,174.18382
