"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Tara Hills (Canterbury)",1979,124,"1979-01-05","1979-12-08",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1979,40,"1979-04-27","1979-09-27",-38.88784,175.25981
"Taupō (Waikato)",1979,32,"1979-04-14","1979-10-23",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1979,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1979,58,"1979-04-14","1979-10-04",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1979,55,"1979-04-14","1979-12-05",-39.46249,175.66283
"Wellington (Wellington)",1979,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1979,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1979,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1979,2,"1979-07-09","1979-07-10",-35.769,174.364
"Auckland (Auckland)",1978,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1978,35,"1978-05-21","1978-08-29",-41.52133,173.86439
"Christchurch (Canterbury)",1978,41,"1978-05-25","1978-09-05",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1978,15,"1978-05-28","1978-11-06",-40.21,176.109
"Dunedin (Otago)",1978,4,"1978-06-15","1978-08-18",-45.90129,170.5147
"Gisborne (Gisborne)",1978,7,"1978-06-03","1978-08-09",-38.6586,177.9851
"Gore (Southland)",1978,49,"1978-05-22","1978-10-19",-46.115,168.887
"Hamilton (Waikato)",1978,16,"1978-05-06","1978-08-30",-37.86088,175.33175
"Hokitika (West Coast)",1978,15,"1978-05-25","1978-07-19",-42.71228,170.98428
"Invercargill (Southland)",1978,41,"1978-03-30","1978-09-27",-46.41741,168.33052
"Kerikeri (Northland)",1978,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1978,79,"1978-03-25","1978-10-22",-44.002,170.441
"Masterton (Wellington)",1978,11,"1978-06-03","1978-10-25",-40.957,175.707
"Milford Sound (Southland)",1978,32,"1978-05-24","1978-09-02",-44.67384,167.92406
"Napier (Hawke's Bay)",1978,13,"1978-06-03","1978-09-07",-39.49846,176.91189
"Nelson (Nelson)",1978,14,"1978-06-03","1978-07-18",-41.299,173.226
"New Plymouth (Taranaki)",1978,3,"1978-06-14","1978-06-30",-39.0079,174.18382
"Queenstown (Otago)",1978,85,"1978-03-25","1978-10-24",-45.01758,168.74005
"Reefton (West Coast)",1978,50,"1978-05-05","1978-10-22",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1978,20,"1978-05-27","1978-10-25",-38.10595,176.31485
"Tara Hills (Canterbury)",1978,105,"1978-03-25","1978-10-24",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1978,54,"1978-05-04","1978-10-25",-38.88784,175.25981
"Taupō (Waikato)",1978,47,"1978-05-04","1978-11-06",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1978,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1978,50,"1978-05-23","1978-09-21",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1978,69,"1978-05-04","1978-11-26",-39.46249,175.66283
"Wellington (Wellington)",1978,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1978,2,"1978-06-16","1978-07-17",-39.93704,175.04509
"Whangaparāoa (Auckland)",1978,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1978,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1977,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1977,51,"1977-04-22","1977-10-01",-41.52133,173.86439
"Christchurch (Canterbury)",1977,46,"1977-04-20","1977-11-26",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1977,15,"1977-05-18","1977-10-26",-40.21,176.109
"Dunedin (Otago)",1977,7,"1977-06-18","1977-08-14",-45.90129,170.5147
"Gisborne (Gisborne)",1977,4,"1977-06-25","1977-08-07",-38.6586,177.9851
"Gore (Southland)",1977,50,"1977-05-07","1977-10-25",-46.115,168.887
