"site","season","trend_likelihood","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","intercept","r_squared","sigma","trend_method","n","note","s","var_s","tau","z","alternative","lat","lon"
"New Plymouth (Taranaki)","Winter",NA,"1960-06-01","2022-08-31",0.33958464923440135,-0.7330789170506895,-1.9858295884626773,0.5196717543612983,0.9,464.0982078853046,0.01496064886232507,109.92661904927805,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"Queenstown (Otago)","Winter",NA,"1960-06-01","2022-08-31",0.05460653707144626,0.6924107142857148,0.11123726655305166,1.2735841620183779,0.9,145.34761904761896,0.05922774651635497,50.996925125138375,"Linear model",63,NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Reefton (West Coast)","Winter",NA,"1960-06-01","2022-08-31",0.5521198535682597,0.5187788018433208,-0.9084075943123788,1.9459651979990205,0.9,519.0784434203786,0.005826262048239577,125.23304027104778,"Linear model",63,NA,NA,NA,NA,NA,NA,-42.11578,171.86014
"Rotorua (Bay of Plenty)","Winter",NA,"1960-06-01","2022-08-31",0.7847961682220186,-0.20304819508448393,-1.4207255656033022,1.0146291754343342,0.9,413.3991295442907,0.001231751790664097,106.84899995549732,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Tara Hills (Canterbury)","Winter",NA,"1960-06-01","2022-08-31",0.1624365454315258,0.5462605606758836,-0.08917022862548363,1.1816913499772508,0.9,106.18950332821295,0.0317380845078177,55.757909296495505,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)","Winter",NA,"1960-06-01","2022-08-31",0.15767605843655552,0.9533602150537627,-0.1428558013464306,2.049576231453956,0.9,380.5750128008194,0.03245760311692194,96.19098451148359,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.88784,175.25981
"Taupō (Waikato)","Winter",NA,"1960-06-01","2022-08-31",0.30859833980770873,0.48835925499232025,-0.29400175786148963,1.27072026784613,0.9,257.6375832053251,0.016988218802293197,68.65077224189713,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.74263,176.08104
"Tauranga (Bay of Plenty)","Winter",NA,"1960-06-01","2022-08-31",0.6153674284146198,-0.35396025345622006,-1.5068206682146026,0.7989001613021625,0.9,388.01402969790064,0.004163592511609981,101.16142862433968,"Linear model",63,NA,NA,NA,NA,NA,NA,-37.673,176.196
"Timaru (Canterbury)","Winter",NA,"1960-06-01","2022-08-31",0.4991821892602669,0.30713805683563805,-0.43598153359182873,1.0502576472631049,0.9,115.35412186379924,0.0075196295881556005,65.20740797760149,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)","Winter",NA,"1960-06-01","2022-08-31",0.09771549901689205,0.9782450076804942,0.021506005733563094,1.9349840096274251,0.9,287.6707629288272,0.044314709189406325,83.95212726413261,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.46249,175.66283
"Wellington (Wellington)","Winter",NA,"1960-06-01","2022-08-31",0.38444517873616224,-0.6474510368663602,-1.8631061230978296,0.5682040493651093,0.9,450.062877624168,0.012424759476278927,106.67154814522276,"Linear model",63,NA,NA,NA,NA,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)","Winter",NA,"1960-06-01","2022-08-31",0.1773830180741855,0.6474222350230426,-0.1329478652842907,1.427792335330376,0.9,230.73328213005615,0.029623669400946157,68.47607324547968,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)","Winter",NA,"1960-06-01","2022-08-31",0.014551338889374515,-1.5013344854070643,-2.483199937233885,-0.5194690335802437,0.9,394.51413210445463,0.09395608049440374,86.15692806531219,"Linear model",63,NA,NA,NA,NA,NA,NA,-36.606,174.835
"Whangārei (Northland)","Winter",NA,"1960-06-01","2022-08-31",0.7009093024755322,-0.4085877496159747,-2.150120417305913,1.3329449180739639,0.9,485.3605222734254,0.002435415876218795,152.81636042329953,"Linear model",63,NA,NA,NA,NA,NA,NA,-35.769,174.364
"Auckland (Auckland)","Spring",NA,"1960-09-01","2022-11-30",0.33418863624715234,-0.4438556067588312,-1.1938679270661008,0.3061567135484383,0.9,271.06052227342536,0.015295969867056992,65.81223263185822,"Linear model",63,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)","Spring",NA,"1960-09-01","2022-11-30",0.9778204639517412,-0.010450268817202998,-0.6262013442651816,0.6053008066307756,0.9,175.5471070148488,1.277508200553691e-5,54.03104978875169,"Linear model",63,NA,NA,NA,NA,NA,NA,-41.52133,173.86439
"Christchurch (Canterbury)","Spring",NA,"1960-09-01","2022-11-30",0.4078624087946837,0.23874327956989266,-0.23244800446259056,0.709934563602376,0.9,129.01894521249358,0.011258364752015122,41.34618800147889,"Linear model",63,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","Spring",NA,"1960-09-01","2022-11-30",0.09547554897900286,0.7416042626728104,0.02127166569512673,1.461936859650494,0.9,237.09406041986696,0.044900541226660574,63.20789027196785,"Linear model",63,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dunedin (Otago)","Spring",NA,"1960-09-01","2022-11-30",0.8628402120717603,0.047422235023042346,-0.40218490518635686,0.4970293752324415,0.9,156.6015360983102,4.931829759560422e-4,39.45221818793992,"Linear model",63,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)","Spring",NA,"1960-09-01","2022-11-30",0.5819971498676635,0.32229262672811154,-0.6356092392052256,1.2801944926614488,0.9,200.47393753200186,0.004995837203804678,84.05416648818324,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
