Station,Date(NZST),Percent(%),Depth(cm)
3925,20190124:1400,40.1,20
3925,20190124:1500,40,20
3925,20190124:1600,39.9,20
3925,20190124:1700,39.7,20
3925,20190124:1800,39.6,20
3925,20190124:1900,39.3,20
3925,20190124:2000,39.3,20
3925,20190124:2100,39.1,20
3925,20190124:2200,39.1,20
3925,20190124:2300,39,20
3925,20190125:0000,38.8,20
3925,20190125:0100,38.8,20
3925,20190125:0200,38.7,20
3925,20190125:0300,38.8,20
3925,20190125:0400,38.7,20
3925,20190125:0500,38.5,20
3925,20190125:0600,38.4,20
3925,20190125:0700,38.5,20
3925,20190125:0800,38.6,20
3925,20190125:0900,38.7,20
3925,20190125:1000,38.6,20
3925,20190125:1100,38.6,20
3925,20190125:1200,38.5,20
3925,20190125:1300,38.3,20
3925,20190125:1400,38.3,20
3925,20190125:1500,38.3,20
3925,20190125:1600,38.3,20
3925,20190125:1700,38.1,20
3925,20190125:1800,38,20
3925,20190125:1900,38.1,20
3925,20190125:2000,38,20
3925,20190125:2100,37.9,20
3925,20190125:2200,37.9,20
3925,20190125:2300,38,20
3925,20190126:0000,37.7,20
3925,20190126:0100,37.7,20
3925,20190126:0200,38,20
3925,20190126:0300,37.7,20
3925,20190126:0400,37.7,20
3925,20190126:0500,37.8,20
3925,20190126:0600,37.7,20
3925,20190126:0700,37.6,20
3925,20190126:0800,37.7,20
3925,20190126:0900,37.7,20
3925,20190126:1000,37.5,20
3925,20190126:1100,37.7,20
3925,20190126:1200,37.5,20
3925,20190126:1300,37.5,20
3925,20190126:1400,37.4,20
3925,20190126:1500,37.4,20
3925,20190126:1600,37.1,20
3925,20190126:1700,37.2,20
3925,20190126:1800,37.2,20
3925,20190126:1900,36.9,20
3925,20190126:2000,37,20
3925,20190126:2100,36.8,20
3925,20190126:2200,37,20
3925,20190126:2300,36.8,20
3925,20190127:0000,36.8,20
3925,20190127:0100,36.9,20
3925,20190127:0200,36.9,20
3925,20190127:0300,36.8,20
3925,20190127:0400,36.8,20
3925,20190127:0500,36.7,20
3925,20190127:0600,36.7,20
3925,20190127:0700,36.7,20
3925,20190127:0800,36.6,20
3925,20190127:0900,36.6,20
3925,20190127:1000,36.8,20
3925,20190127:1100,36.7,20
3925,20190127:1200,36.6,20
3925,20190127:1300,36.6,20
3925,20190127:1400,36.5,20
3925,20190127:1500,36.4,20
3925,20190127:1600,36.5,20
3925,20190127:1700,36.4,20
3925,20190127:1800,36.4,20
3925,20190127:1900,36.2,20
3925,20190127:2000,36.3,20
3925,20190127:2100,36.2,20
3925,20190127:2200,36.2,20
3925,20190127:2300,36.2,20
3925,20190128:0000,36.2,20
3925,20190128:0100,36.2,20
3925,20190128:0200,36.2,20
3925,20190128:0300,36.1,20
3925,20190128:0400,36.2,20
3925,20190128:0500,36.3,20
3925,20190128:0600,36.1,20
3925,20190128:0700,36.1,20
3925,20190128:0800,36.2,20
3925,20190128:0900,36,20
3925,20190128:1000,36.2,20
3925,20190128:1100,36.2,20
3925,20190128:1200,36.1,20
3925,20190128:1300,36.2,20
3925,20190128:1400,36.2,20
3925,20190128:1500,36,20
3925,20190128:1600,36.1,20
3925,20190128:1700,35.9,20
3925,20190128:1800,36,20
3925,20190128:1900,35.7,20
3925,20190128:2000,35.7,20
3925,20190128:2100,35.7,20
3925,20190128:2200,35.7,20
3925,20190128:2300,35.7,20
3925,20190129:0000,35.7,20
3925,20190129:0100,35.7,20
3925,20190129:0200,35.7,20
3925,20190129:0300,35.7,20
3925,20190129:0400,35.7,20
3925,20190129:0500,35.7,20
3925,20190129:0600,35.7,20
3925,20190129:0700,35.7,20
3925,20190129:0800,35.7,20
3925,20190129:0900,35.7,20
3925,20190129:1000,35.7,20
3925,20190129:1100,35.6,20
3925,20190129:1200,35.5,20
3925,20190129:1300,35.6,20
3925,20190129:1400,35.5,20
3925,20190129:1500,35.4,20
3925,20190129:1600,35.4,20
3925,20190129:1700,35.3,20
3925,20190129:1800,35.2,20
3925,20190129:1900,35.1,20
3925,20190129:2000,35.1,20
3925,20190129:2100,35.2,20
3925,20190129:2200,35.1,20
3925,20190129:2300,35,20
3925,20190130:0000,35.1,20
3925,20190130:0100,35.1,20
3925,20190130:0200,34.9,20
3925,20190130:0300,35,20
3925,20190130:0400,35,20
3925,20190130:0500,35.1,20
3925,20190130:0600,35.1,20
3925,20190130:0700,35.2,20
3925,20190130:0800,35.2,20
3925,20190130:0900,35.2,20
3925,20190130:1000,35,20
3925,20190130:1100,35.1,20
3925,20190130:1200,35.1,20
3925,20190130:1300,35,20
3925,20190130:1400,34.7,20
3925,20190130:1500,34.7,20
3925,20190130:1600,34.6,20
3925,20190130:1700,34.7,20
3925,20190130:1800,34.6,20
3925,20190130:1900,34.6,20
3925,20190130:2000,34.5,20
3925,20190130:2100,34.4,20
3925,20190130:2200,34.4,20
3925,20190130:2300,34.5,20
3925,20190131:0000,34.4,20
3925,20190131:0100,34.4,20
3925,20190131:0200,34.4,20
3925,20190131:0300,34.2,20
3925,20190131:0400,34.4,20
3925,20190131:0500,34.4,20
