Station,Date(NZST),Percent(%),Depth(cm)
3925,20090205:0900,45.9,20
3925,20090205:1000,45.8,20
3925,20090205:1100,45.7,20
3925,20090205:1200,45.7,20
3925,20090205:1300,45.7,20
3925,20090205:1400,45.7,20
3925,20090205:1500,45.8,20
3925,20090205:1600,45.6,20
3925,20090205:1700,45.3,20
3925,20090205:1800,45.3,20
3925,20090205:1900,45.3,20
3925,20090205:2000,45.3,20
3925,20090205:2100,45.3,20
3925,20090205:2200,45.5,20
3925,20090205:2300,45.3,20
3925,20090206:0000,45.3,20
3925,20090206:0100,45.3,20
3925,20090206:0200,45.5,20
3925,20090206:0300,45.3,20
3925,20090206:0400,45.3,20
3925,20090206:0500,45.3,20
3925,20090206:0600,45.6,20
3925,20090206:0700,45.6,20
3925,20090206:0800,45.6,20
